id,name,unit_cost,remaining_qty,is_active,daily_stock_take
1725,120G BIRIOCHE ROLLS,1.92,15.00,true,false
2258,120G BIRIOCHE ROLLS,1.92,15.00,true,false
1921,15 CM SAUCER,0.00,15.00,true,false
1922,160 ML CUP,4.00,15.00,true,false
1923,250 ML COFFE CUPS,11.00,15.00,true,false
1925,250 ML TEAPOT,1.00,15.00,true,false
1927,350 & 500 ML LIDS,1.00,15.00,true,false
1929,500ML COFFEE CUPS,5.34,15.00,true,false
1931,7 UP,1.00,20.00,true,true
1331,7 WHEEL CUTTER,0.76,15.00,true,false
1933,70 ML ESPRESSO CUP NOVA,18.83,15.00,true,false
1934,AFFOGATTO GLASSES,18.00,15.00,true,false
1935,ALCOSEPT,1.55,15.00,true,false
1330,ALMOND CREAM,1.00,15.00,true,false
1703,ALMOND CROISSANTS,1.92,15.00,true,false
2236,ALMOND CROISSANTS,1.92,15.00,true,false
1714,APPLE TURNOVER,1.92,15.00,true,false
2247,APPLE TURNOVER,1.92,15.00,true,false
1937,APPLES,1.70,15.00,true,false
1689,APPLES,1.92,15.00,true,false
1938,ASHTRAYS,9.25,15.00,true,false
2278,AVOCADO,0.50,0.00,true,false
2277,AVOCADO,0.50,0.00,true,false
1939,AVOCADOS,12.00,15.00,true,false
1716,BAGUETTE,1.92,15.00,true,false
2249,BAGUETTE,1.92,15.00,true,false
1941,BALSAMIC VINEGAR,6.00,15.00,true,false
1329,BASKET RECTANGULAR,0.15,15.00,true,false
1943,BASMATI RICE,0.15,15.00,true,false
1944,BASTING BRUSH,0.15,15.00,true,false
1945,BATH SOAP,0.02,15.00,true,false
1947,BEANS SPROUTS,12.39,15.00,true,false
1735,BEEF PIE,1.92,15.00,true,false
1926,BEEF PIE,1.92,15.00,true,false
2016,BIG CHOC CHIP,1.92,15.00,true,false
1777,BIG CHOC CHIP,1.92,15.00,true,false
1692,BIG CROISSANTS,1.92,15.00,true,false
2225,BIG CROISSANTS,1.92,15.00,true,false
1949,BIG INSERTS,1.00,15.00,true,false
1951,BIG POTS,44.00,15.00,true,false
2257,BIRIOCHE KITCHEN,1.92,15.00,true,false
1724,BIRIOCHE KITCHEN,1.92,15.00,true,false
2256,BIRIOCHE LOAF,1.92,15.00,true,false
1723,BIRIOCHE LOAF,1.92,15.00,true,false
1332,BLACK COLOUR TUBE,10.00,15.00,true,false
1953,BLEACH,1.52,15.00,true,false
1955,BLUE CUPS,27.00,15.00,true,false
1686,BLUEBERRIES,1.92,15.00,true,false
1957,BLUEBERRIES,7.20,15.00,true,false
1978,BLUEBERRY TART,1.92,15.00,true,false
1758,BLUEBERRY TART,1.92,15.00,true,false
1959,BOWLS LARGE 15 CM,1.80,15.00,true,false
1961,BOWLS SMALL 15 CM,1.00,15.00,true,false
1787,BREAD AND BUTTER PUDDING,1.92,15.00,true,false
2036,BREAD AND BUTTER PUDDING,1.92,15.00,true,false
1963,BREAD PLASTICS,2.80,15.00,true,false
2263,BREAD ROLLS-60 G,1.92,15.00,true,false
1730,BREAD ROLLS-60 G,1.92,15.00,true,false
1731,BREAD ROLLS - 100 G,1.92,15.00,true,false
2264,BREAD ROLLS - 100 G,1.92,15.00,true,false
2262,BREAD ROLLS -120 G,1.92,15.00,true,false
1729,BREAD ROLLS -120 G,1.92,15.00,true,false
1965,BRIE,1.48,15.00,true,false
1967,BROWN BAGS FRENCH SCHOOL,1.62,15.00,true,false
1969,BROWN SUGAR SACHETS,10.00,15.00,true,false
1971,BURGER ROLLS,0.20,15.00,true,false
1973,BUTTER  PORTIONS,1.00,15.00,true,false
2292,Butter Croissants,0.50,0.00,true,false
2339,butter test,1.00,20.00,true,true
2336,Butter test 2,1.00,0.00,true,false
1975,CAKE FLOUR,1.00,0.00,true,false
1782,CARROT CAKE,1.92,15.00,true,false
2026,CARROT CAKE,1.92,15.00,true,false
1977,CARTRIDGE,14.00,15.00,true,false
2237,CHELSEA,1.92,15.00,true,false
1704,CHELSEA,1.92,15.00,true,false
1979,CHERRY PLUM,0.00,15.00,true,false
1981,CHIA SEEDS,1.50,15.00,true,false
1983,CHICKEN BREASTS,1.92,15.00,true,false
1734,CHICKEN PIE,1.92,15.00,true,false
1924,CHICKEN PIE,1.92,15.00,true,false
1985,CHIP BASKETS,1.92,15.00,true,false
2232,CHOC ALMOND CROSSAINTS,1.92,15.00,true,false
1699,CHOC ALMOND CROSSAINTS,1.92,15.00,true,false
1781,CHOCOLATE CAKE MINI,1.92,15.00,true,false
2024,CHOCOLATE CAKE MINI,1.92,15.00,true,false
1696,CHOCOLATE CROSSAINTS,1.92,15.00,true,false
2229,CHOCOLATE CROSSAINTS,1.92,15.00,true,false
1954,CHOCOLATE ÉCLAIR,1.92,15.00,true,false
1746,CHOCOLATE ÉCLAIR,1.92,15.00,true,false
1713,CHOCOLATE NIB,1.92,15.00,true,false
2246,CHOCOLATE NIB,1.92,15.00,true,false
2022,CHOCOLATE TARTS,1.92,15.00,true,false
1780,CHOCOLATE TARTS,1.92,15.00,true,false
2255,CIABATA,1.92,15.00,true,false
1722,CIABATA,1.92,15.00,true,false
1987,CITRUS JUICER,1.92,15.00,true,false
1989,COCKTAIL SHAKER,1.92,15.00,true,false
1991,COCONUT DESICATED,1.92,15.00,true,false
1995,COFFEE- 250G FILTER,1.92,15.00,true,false
1993,COFFEE-CDP,1.92,15.00,true,false
2221,COFFEE CUP 250 ML,1.92,15.00,true,false
2222,COFFEE CUP 350 ML,1.92,15.00,true,false
2223,COFFEE CUP 500 ML,1.92,15.00,true,false
1997,COFFEE DROP,1.92,15.00,true,false
1748,COFFEE ÉCLAIR,1.92,15.00,true,false
1958,COFFEE ÉCLAIR,1.92,15.00,true,false
2274,COFFEE FATHERS,32.00,0.00,true,false
1999,COKE ZERO,1.92,15.00,true,false
1413,COOKING PLASTIC SPOONS,1.92,15.00,true,false
1414,COOLING RACKS,1.92,15.00,true,false
1415,CORER APPLE,1.92,15.00,true,false
1416,CORNFLOUR,1.92,15.00,true,false
2001,COUSCOUS,1.92,15.00,true,false
1417,CRAQLIN,1.92,15.00,true,false
1418,CREAM CHEESE,1.92,15.00,true,false
1419,CREMIX,1.92,15.00,true,false
1420,CROISSANT CUTTER,1.92,15.00,true,false
1421,CROISSANT CUTTER SMALL,1.92,15.00,true,false
2003,CROISSANTS BIG,1.92,15.00,true,false
1422,CROQUANTES PANACHEESE,1.92,15.00,true,false
1738,CROQUMBOUCHE,1.92,15.00,true,false
1932,CROQUMBOUCHE,1.92,15.00,true,false
2248,CROUGHNUTS,1.92,15.00,true,false
1715,CROUGHNUTS,1.92,15.00,true,false
1423,CRYSTAL SUGAR,1.92,15.00,true,false
2005,CUCUMBERS,1.92,15.00,true,false
1424,CUP CAKE BY 6,1.92,15.00,true,false
1425,CUTTER SET 11,1.92,15.00,true,false
1426,CUTTER SET 8,1.92,15.00,true,false
1427,CUTTING BOARD,1.92,15.00,true,false
1428,CUTTING BOARD WARPED,1.92,15.00,true,false
2007,CUTTING BOARDS,1.92,15.00,true,false
2239,DANISH PASTRIES -APRICOT,1.92,15.00,true,false
1706,DANISH PASTRIES -APRICOT,1.92,15.00,true,false
2009,DELI HURRICANE GLASSES,1.92,15.00,true,false
1429,DESICATED COCONUT,1.92,15.00,true,false
1430,DESSERT SPOONS,1.92,15.00,true,false
1431,DIGITAL TIMER,1.92,15.00,true,false
2011,DINNER PLATES,1.92,15.00,true,false
2013,DOILIES,1.92,15.00,true,false
1432,DOME,1.92,15.00,true,false
1433,DOME MOULD,1.92,15.00,true,false
1434,DOME MOULD 4S,1.92,15.00,true,false
1435,DOME SMALL,1.92,15.00,true,false
1436,DONKAR,1.92,15.00,true,false
1437,DOUBLE DOOR FRIDGE,1.92,15.00,true,false
1438,DOUGH ATTACHMENTS,1.92,15.00,true,false
1439,DOUGH MIXER,1.92,15.00,true,false
1440,DOUGH PLASTICS,1.92,15.00,true,false
1936,DOUGHNUT-  MINI,1.92,15.00,true,false
1739,DOUGHNUT-  MINI,1.92,15.00,true,false
1940,DOUGHNUT MED,1.92,15.00,true,false
1740,DOUGHNUT MED,1.92,15.00,true,false
1942,DOUGHNUT NORMAL,1.92,15.00,true,false
1741,DOUGHNUT NORMAL,1.92,15.00,true,false
1441,DRIED YEAST,1.92,15.00,true,false
1960,EASTER CAKE,1.92,15.00,true,false
1749,EASTER CAKE,1.92,15.00,true,false
1962,ÉCLAIR SHELL -5 CM LENGTH 1 CM WIDTH,1.92,15.00,true,false
1750,ÉCLAIR SHELL -5 CM LENGTH 1 CM WIDTH,1.92,15.00,true,false
2015,EGG LIFTER,1.92,15.00,true,false
2017,EGGS,1.92,15.00,true,false
1442,EGGS,1.92,15.00,true,false
1443,ELECTRIC BLUE,1.92,15.00,true,false
1928,EMMANTAL CHEESE PIES,1.92,15.00,true,false
1736,EMMANTAL CHEESE PIES,1.92,15.00,true,false
2019,EMPTIES NO BOTTLE,1.92,15.00,true,false
1444,EUROFOURS OVEN,1.92,15.00,true,false
2021,FANTA,1.92,15.00,true,false
1445,FEATHER DUSTER,1.92,15.00,true,false
2023,FILLET STEAK,1.92,15.00,true,false
1446,FINANCIER SILICON,1.92,15.00,true,false
2240,FINANCIERS,1.92,15.00,true,false
1707,FINANCIERS,1.92,15.00,true,false
1763,FLAN - 8 PEOPLE,1.92,15.00,true,false
1988,FLAN - 8 PEOPLE,1.92,15.00,true,false
1447,FLAT BEATER ATTACHMENYT,1.92,15.00,true,false
1448,FLAVOURS SMALL,1.92,15.00,true,false
1449,FLOWERS,1.92,15.00,true,false
1450,FLY TRAP,1.92,15.00,true,false
1451,FONDANT,1.92,15.00,true,false
2025,FORKS CAKE,1.92,15.00,true,false
1452,FOURNIL CRAVTEE,1.92,15.00,true,false
1968,FRAISIER,1.92,15.00,true,false
1753,FRAISIER,1.92,15.00,true,false
1970,FRAISIER - 10 PEOPLE,1.92,15.00,true,false
1754,FRAISIER - 10 PEOPLE,1.92,15.00,true,false
1453,FRAISIER RINGS,1.92,15.00,true,false
1454,FRESH CREAM,1.92,15.00,true,false
2027,FROTHONG JUGS,1.92,15.00,true,false
1455,FRYING PANS,1.92,15.00,true,false
1456,GAS BUTANE,1.92,15.00,true,false
1457,GAS STOVE 2 PLATE,1.92,15.00,true,false
1458,GAS TANK 3 KG,1.92,15.00,true,false
1459,GAS TANK 9 KG,1.92,15.00,true,false
1460,GELATIN LEAVES,1.92,15.00,true,false
1461,GELATIN POWDER,1.92,15.00,true,false
1462,GELATINE,1.92,15.00,true,false
2029,GINGER,1.92,15.00,true,false
1463,GLITTER BALLS,1.92,15.00,true,false
1464,GLOBAL LUGS,1.92,15.00,true,false
2031,GLOVES BLACK,1.92,15.00,true,false
1465,GLUCOSE,1.92,15.00,true,false
1783,GLUTEN FREE MINI CAKE,1.92,15.00,true,false
2028,GLUTEN FREE MINI CAKE,1.92,15.00,true,false
1466,GOLD BALLS,1.92,15.00,true,false
1467,GOLD DUST,1.92,15.00,true,false
1468,GOLD LEAF,1.92,15.00,true,false
1687,GOOSEBERRIES,1.92,15.00,true,false
1469,GP RIM,1.92,15.00,true,false
2033,GP2,1.92,15.00,true,false
2035,GRATER,1.92,15.00,true,false
2037,GREEN CHILLIES,1.92,15.00,true,false
2038,GREEN PEPPERS,1.92,15.00,true,false
1470,GREY TILES,1.92,15.00,true,false
1471,GRILL TRAYS,1.92,15.00,true,false
2039,GRILLER,1.92,15.00,true,false
2040,GRINDER,1.92,15.00,true,false
1472,GUARGUM,1.92,15.00,true,false
1473,GUN FOR HOSEPIPE,1.92,15.00,true,false
2041,HAKE,1.92,15.00,true,false
2042,HALF CHICKENS,1.92,15.00,true,false
1474,HAND ATTACHMENMENTS,1.92,15.00,true,false
1475,HAND MIXER NOT WORKING,1.92,15.00,true,false
1476,HAND MIXER WORKING,1.92,15.00,true,false
1477,HAND MIXERS,1.92,15.00,true,false
1478,HANDMIXER,1.92,15.00,true,false
1479,HAPPY BIRTHDAY TOPPER,1.92,15.00,true,false
1480,HAZELNUT FLAVOUR,1.92,15.00,true,false
1481,HAZELNUT WITH SKIN,1.92,15.00,true,false
1482,HAZELNUTS,1.92,15.00,true,false
1483,HEART MOULD,1.92,15.00,true,false
1484,HEART SMALL MOULD,1.92,15.00,true,false
2043,HICKORY BBQ SAUCE,1.92,15.00,true,false
2044,HONEY,1.92,15.00,true,false
1485,HOSE PIPE,1.92,15.00,true,false
2045,HOT CHOCOLATE,1.92,15.00,true,false
2245,HOT CROSS BUNS,1.92,15.00,true,false
1712,HOT CROSS BUNS,1.92,15.00,true,false
2046,HOT PASS,1.92,15.00,true,false
1486,IBZ,1.92,15.00,true,false
2047,ICECREAM SCOOP,1.92,15.00,true,false
1487,ICING SUGAR,1.92,15.00,true,false
2048,ICING SUGAR,1.92,15.00,true,false
1488,INOX 180 RINGS,1.92,15.00,true,false
1489,ISPAGHOL,1.92,15.00,true,false
2049,JAM PORTIONS,1.92,15.00,true,false
2050,JUICE CUPS,1.92,15.00,true,false
2051,JUICE LIDS,1.92,15.00,true,false
2052,KETTLE 1 LT,1.92,15.00,true,false
1717,KITCHEN BAGUETTE,1.92,15.00,true,false
2250,KITCHEN BAGUETTE,1.92,15.00,true,false
1688,KIWI,1.92,15.00,true,false
1490,KNIFE,1.92,15.00,true,false
2053,KNIVES,1.92,15.00,true,false
2242,KUIGN MANN,1.92,15.00,true,false
1709,KUIGN MANN,1.92,15.00,true,false
1491,LAPAGE,1.92,15.00,true,false
2054,LARGE BOXES,1.92,15.00,true,false
1755,LARGE GALETTE,1.92,15.00,true,false
1972,LARGE GALETTE,1.92,15.00,true,false
1980,LARGE LEMON MERINGUE,1.92,15.00,true,false
1759,LARGE LEMON MERINGUE,1.92,15.00,true,false
1986,LARGE LEMON MERINGUE - 10 PEOPLE,1.92,15.00,true,false
1762,LARGE LEMON MERINGUE - 10 PEOPLE,1.92,15.00,true,false
2055,LARGE PLASTIC CONTAINERS,1.92,15.00,true,false
2056,LASAGNA,1.92,15.00,true,false
2057,LATTE GLASSES,1.92,15.00,true,false
2058,LATTE SPOONS,1.92,15.00,true,false
1765,LEMON ALMOND TARTS,1.92,15.00,true,false
1992,LEMON ALMOND TARTS,1.92,15.00,true,false
1760,LEMON CHEESECAKE BAKED,1.92,15.00,true,false
1982,LEMON CHEESECAKE BAKED,1.92,15.00,true,false
1492,LEMON CURD,1.92,15.00,true,false
1493,LEMON FLAVOUR,1.92,15.00,true,false
1494,LEMON JUICE,1.92,15.00,true,false
1761,LEMON MERINGUE,1.92,15.00,true,false
1984,LEMON MERINGUE,1.92,15.00,true,false
1495,LEMONS,1.92,15.00,true,false
2059,LENTILS,1.92,15.00,true,false
2060,LETTUCE,1.92,15.00,true,false
2061,LIFT AWAY,1.92,15.00,true,false
1496,LIN SEEDS,1.92,15.00,true,false
1497,LOAF TIN - 27 CM,1.92,15.00,true,false
1498,LOAF TIN  35 CM,1.92,15.00,true,false
1499,LOAF TIN 30.5 CM,1.92,15.00,true,false
1500,LOAF TIN 33CM,1.92,15.00,true,false
1501,LOAF TIN LONG 24 CM,1.92,15.00,true,false
1718,LONG BAGUETTES,1.92,15.00,true,false
2251,LONG BAGUETTES,1.92,15.00,true,false
2062,LUNCH BOXES BIG,1.92,15.00,true,false
2063,LUNCH BOXES SMALL,1.92,15.00,true,false
2064,MACAROON STANDS,1.92,15.00,true,false
2065,MACAROON WOODEN BOXES,1.92,15.00,true,false
2004,MACAROONS- BROWN,1.92,15.00,true,false
1771,MACAROONS- BROWN,1.92,15.00,true,false
1998,MACAROONS- GREEN,1.92,15.00,true,false
1768,MACAROONS- GREEN,1.92,15.00,true,false
2002,MACAROONS- PURPLE,1.92,15.00,true,false
1770,MACAROONS- PURPLE,1.92,15.00,true,false
1772,MACAROONS- WHITE,1.92,15.00,true,false
2006,MACAROONS- WHITE,1.92,15.00,true,false
1769,MACAROONS-PINK,1.92,15.00,true,false
2000,MACAROONS-PINK,1.92,15.00,true,false
1773,MACAROONS - YELLOW,1.92,15.00,true,false
2008,MACAROONS - YELLOW,1.92,15.00,true,false
2066,MACON,1.92,15.00,true,false
1502,MADELEIN MIX,1.92,15.00,true,false
2067,MADELEIN PACKAGING,1.92,15.00,true,false
2014,MADELEINES,1.92,15.00,true,false
1776,MADELEINES,1.92,15.00,true,false
1503,MADELIN METAL MOULDS,1.92,15.00,true,false
1504,MANGO FLAVOUR,1.92,15.00,true,false
1505,MATS,1.92,15.00,true,false
2068,MAYONAISE,1.92,15.00,true,false
1506,MEASURING JUG,1.92,15.00,true,false
1507,MEASURING SPOON SET BY 5,1.92,15.00,true,false
1508,MEASURING SPOONS,1.92,15.00,true,false
1701,MED ALMOND CROISSANTS,1.92,15.00,true,false
2234,MED ALMOND CROISSANTS,1.92,15.00,true,false
2069,MED BOXES,1.92,15.00,true,false
1700,MED CHOCOLATE ALMOND CROISSANTS,1.92,15.00,true,false
2233,MED CHOCOLATE ALMOND CROISSANTS,1.92,15.00,true,false
2231,MED CHOCOLATE CROISSANTS,1.92,15.00,true,false
1698,MED CHOCOLATE CROISSANTS,1.92,15.00,true,false
1509,MED CROISSANT CUTTER,1.92,15.00,true,false
1694,MED PLAIN CROISSANTS,1.92,15.00,true,false
2227,MED PLAIN CROISSANTS,1.92,15.00,true,false
2228,MED PLAIN CROISSANTS FROZEN,1.92,15.00,true,false
1695,MED PLAIN CROISSANTS FROZEN,1.92,15.00,true,false
2030,MERVEILLEUX,1.92,15.00,true,false
1784,MERVEILLEUX,1.92,15.00,true,false
1510,METAL SCRAPER,1.92,15.00,true,false
1511,METAL TRAYS,1.92,15.00,true,false
2070,METHYLATED SPIRITS,1.92,15.00,true,false
1512,MICRO PLAINNER,1.92,15.00,true,false
2071,MICROWAVE,1.92,15.00,true,false
2072,MILK,1.92,15.00,true,false
1513,MILK B,1.92,15.00,true,false
2073,MILK JUGS LARGE,1.92,15.00,true,false
2074,MILK JUGS SMALL,1.92,15.00,true,false
2075,MILKSHAKE GLASSES,1.92,15.00,true,false
1751,MILLIE FEUILLE,1.92,15.00,true,false
1964,MILLIE FEUILLE,1.92,15.00,true,false
2076,MILLIE FUILLE PLASTICS,1.92,15.00,true,false
2077,MINCE,1.92,15.00,true,false
2226,MINI  PLAIN CROISSANTS,1.92,15.00,true,false
1693,MINI  PLAIN CROISSANTS,1.92,15.00,true,false
2235,MINI ALMOND CROISSANTS,1.92,15.00,true,false
1702,MINI ALMOND CROISSANTS,1.92,15.00,true,false
1705,MINI CHELSEA,1.92,15.00,true,false
2238,MINI CHELSEA,1.92,15.00,true,false
1697,MINI CHOCOLATE CROISSANTS,1.92,15.00,true,false
2230,MINI CHOCOLATE CROISSANTS,1.92,15.00,true,false
1956,MINI CHOCOLATE ECLAIRS- HALF SIZE OF NORMAL,1.92,15.00,true,false
1747,MINI CHOCOLATE ECLAIRS- HALF SIZE OF NORMAL,1.92,15.00,true,false
1764,MINI LEMON MERINGUE,1.92,15.00,true,false
1990,MINI LEMON MERINGUE,1.92,15.00,true,false
